confidence	true	predicted	sentence
CONFIDENT MISTAKES	 	 	 
0.996	neg.	pos.	it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . 
0.995	neg.	pos.	outer-space buffs might love this film , but others will find its pleasures intermittent . 
0.995	neg.	pos.	although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . 
0.994	neg.	pos.	you wo n't like roger , but you will quickly recognize him . 
0.993	neg.	pos.	irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater . 
0.992	pos.	neg.	as unseemly as its title suggests . 
0.992	neg.	pos.	it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . 
0.991	neg.	pos.	you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . 
0.990	neg.	pos.	this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
0.988	pos.	neg.	harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . 
0.988	pos.	neg.	if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 
0.987	neg.	pos.	american chai encourages rueful laughter at stereotypes only an indian-american would recognize . 
0.986	pos.	neg.	good film , but very glum . 
0.986	pos.	neg.	though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 
0.985	neg.	pos.	moretti 's compelling anatomy of grief and the difficult process of adapting to loss . 
0.985	pos.	neg.	writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . 
0.985	neg.	pos.	the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . 
0.983	neg.	pos.	it has all the excitement of eating oatmeal . 
0.983	pos.	neg.	another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better . 
0.983	pos.	neg.	the jabs it employs are short , carefully placed and dead-center . 
0.982	pos.	neg.	turns potentially forgettable formula into something strangely diverting . 
0.981	neg.	pos.	despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine . 
0.980	neg.	pos.	very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . 
0.980	neg.	pos.	it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so 
0.977	pos.	neg.	light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection . 
0.975	pos.	neg.	a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . 
0.970	pos.	neg.	but it still jingles in the pocket . 
0.968	neg.	pos.	the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not . 
0.967	neg.	pos.	without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers . 
0.967	neg.	pos.	every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
0.966	neg.	pos.	pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 
0.966	neg.	pos.	sam mendes has become valedictorian at the school for soft landings and easy ways out . 
0.966	pos.	neg.	not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . 
0.965	neg.	pos.	the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . 
0.961	neg.	pos.	the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . 
0.957	neg.	pos.	this film seems thirsty for reflection , itself taking on adolescent qualities . 
0.955	neg.	pos.	the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . 
0.953	pos.	neg.	a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . 
0.952	neg.	pos.	care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . 
