confidence	true	predicted	sentence
CONFIDENT MISTAKES	 	 	 
0.999	out_of_scope	enter_data	i am an opioid addict
0.998	switch	enter_data	chatfuel
0.998	out_of_scope	enter_data	i am qq
0.997	bye	greet	toodle-oo
0.996	ask_howold	out_of_scope	how many candles were on your last birthday cake?
0.995	out_of_scope	how_to_get_started	how do you learn
0.993	switch	enter_data	wit
0.992	how_to_get_started	out_of_scope	i want to know how can buld my own bot
0.991	out_of_scope	ask_faq_languages	how many languages does spacy support?
0.990	affirm	how_to_get_started	ok let's start
0.990	handleinsult	out_of_scope	a baby knows more than you
0.988	canthelp	out_of_scope	and you call yourself bot company? pff
0.987	out_of_scope	enter_data	nlw
0.984	out_of_scope	ask_howdoing	what the latest news ?
0.983	ask_whoisit	out_of_scope	como te llamas
0.982	technical_question	ask_faq_languages	which language is rasa programmed in
0.979	ask_builder	ask_whoisit	tell me more about you
0.977	contact_sales	enter_data	book
0.977	bye	enter_data	cya
0.976	greet	out_of_scope	guten morgen
0.972	how_to_get_started	enter_data	both
0.969	ask_whatisrasa	how_to_get_started	i want to learn something about rasa
0.968	ask_question_in_forum	ask_faq_what_is_forum	where is the forum
0.966	nlu_info	enter_data	duckling
0.964	ask_restaurant	out_of_scope	where should i go for dinner?
0.963	affirm	deny	not bad
0.959	telljoke	out_of_scope	you can say a jok
0.957	out_of_scope	ask_whatspossible	what are you doing now?
0.956	out_of_scope	affirm	umm
0.954	bye	greet	k byyye #slay
0.947	out_of_scope	ask_whatspossible	what else?
0.945	ask_whoisit	ask_whatisrasa	what is sara?
0.941	ask_faq_tutorials	how_to_get_started	can you pint me to a good how-to online about rasa
0.936	ask_howold	out_of_scope	when you were bon
0.935	react_positive	affirm	okay rasabot, you're cool
0.931	out_of_scope	ask_weather	what is todays date
0.930	out_of_scope	ask_restaurant	i want to book a hotel
0.921	enter_data	rasa_cost	how much money
0.916	install_rasa	how_to_get_started	how do i run rasa on windows
0.910	thank	enter_data	thx
0.906	enter_data	contact_sales	sales bot
0.902	ask_whoisit	human_handoff	whom i talking to
0.902	ask_whatisrasa	ask_whatspossible	what is it for?
0.884	signup_newsletter	out_of_scope	i'd like your newspaper please
0.883	affirm	enter_data	fcourse
0.881	handleinsult	enter_data	u r a piece of junk
0.880	ask_howdoing	out_of_scope	como estas
0.877	out_of_scope	how_to_get_started	example of a chatbot
0.876	greet	enter_data	sup
0.875	ask_faq_languages	ask_languagesbot	your nlu understand spanish?

UNCONFIDENT MISTAKES	 	 	 
0.118	ask_howbuilt	ask_whatisrasa	you originated through what means?
0.136	ask_faq_what_is_forum	signup_newsletter	i would just like to have the link for the community
0.153	ask_whatspossible	out_of_scope	tell me what's your skill
0.174	human_handoff	out_of_scope	are there also humans working for your company?
0.216	ask_whoisit	ask_builder	what is your job?
0.236	out_of_scope	deny	that doesn't sound like a joke
0.278	enter_data	ask_restaurant	places
0.278	technical_question	ask_whatisrasa	what is the last version of rasa core?
0.285	out_of_scope	technical_question	what is evolution ?
0.311	install_rasa	ask_faq_python_version	how can i install python
0.314	ask_howdoing	out_of_scope	whatchcha doing
0.322	ask_whatspossible	out_of_scope	show me the menu
0.330	ask_wherefrom	ask_languagesbot	what citizenship do you lay claim to?
0.337	ask_whatisrasa	out_of_scope	what do you do as a company?
0.341	affirm	out_of_scope	yes i have built a bot before
0.350	bye	react_positive	tlak to you later
0.368	ask_whatisrasa	out_of_scope	what are the componensts of rasa
0.369	technical_question	out_of_scope	your specifications
0.375	ask_how_contribute	technical_question	what should i work on?
0.383	out_of_scope	ask_howdoing	are you ready?
0.394	ask_weather	out_of_scope	what is the wather
0.421	how_to_get_started	technical_question	can i just test features without having to deal with your predefined conversation
0.432	out_of_scope	technical_question	what are contextual ai assistants and how different are they from chatbots?
0.434	out_of_scope	ask_whoami	where am i?
0.490	ask_faq_languages	technical_question	is rasa available for node?
0.501	how_to_get_started	install_rasa	how do i download rasa ?
0.509	ask_howdoing	out_of_scope	how ?
0.522	ask_howdoing	greet	wassup>
0.527	canthelp	ask_whatspossible	do you get anything?
0.534	install_rasa	how_to_get_started	help me get rasa core.
0.544	rasa_cost	out_of_scope	how much is it
0.545	handleinsult	out_of_scope	you are shortsighted.
0.552	out_of_scope	ask_howold	how long have you been online?
0.556	handleinsult	react_positive	that wasn't very funny
0.561	install_rasa	how_to_get_started	having some problems with installation
0.565	ask_faq_channels	enter_data	rasa is good for messaging chanels
0.572	out_of_scope	how_to_get_started	what i do after cd starter-pack-rasa-stack?
0.573	handleinsult	out_of_scope	you're the most moronic person i know
0.576	out_of_scope	enter_data	chgfhgh
0.578	how_to_get_started	enter_data	compnnent of rasa
0.578	out_of_scope	enter_data	i ned a gp in 94301
0.587	enter_data	technical_question	please give me instructions for pip
0.620	ask_builder	ask_howbuilt	by whom were you built?
