confidence	true	predicted	sentence
CONFIDENT MISTAKES	 	 	 
0.982	unacc.	acc.	mary beautifully plays the violin.
0.982	unacc.	acc.	which house does your friend live?
0.981	unacc.	acc.	jack is the person with whom jenny fell in love with.
0.980	unacc.	acc.	it has been determined that somebody will be appointed; it's just not clear yet who.
0.979	unacc.	acc.	mary intended john to go abroad.
0.978	unacc.	acc.	sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one.
0.978	unacc.	acc.	she was bathing, but i couldn't make out who.
0.978	unacc.	acc.	that the cops spoke to the janitor about it yesterday is terrible, that robbery.
0.977	unacc.	acc.	john believes it sincerely that bill is here.
0.977	unacc.	acc.	sally asked if somebody was going to fail math class, but i can't remember who.
0.977	unacc.	acc.	they noticed the painting, but i don't know for how long.
0.977	unacc.	acc.	we gave us presents.
0.977	unacc.	acc.	the cat were bitten by the dog.
0.976	unacc.	acc.	the defendants denies the allegation.
0.976	unacc.	acc.	you may pick every flower, but leave a few for mary.
0.976	unacc.	acc.	since jill said joe had invited sue, we didn't have to ask who.
0.976	unacc.	acc.	he announced he had eaten the asparagus, but we didn't know what.
0.976	unacc.	acc.	she mailed john a letter, but i don't know to whom.
0.976	unacc.	acc.	chocolate eggs were hidden from each other by the children.
0.975	unacc.	acc.	i know that meg's attracted to harry, but they don't know who.
0.975	unacc.	acc.	drowning cats, which is against the law, are hard to rescue.
0.975	unacc.	acc.	sue gave to bill a book.
0.975	unacc.	acc.	only churchill remembered churchill giving the blood, sweat and tears speech.
0.974	unacc.	acc.	who achieved the best result was angela.
0.974	unacc.	acc.	bill ate the peaches and harry did the grapes.
0.974	unacc.	acc.	did the child be in the school?
0.974	unacc.	acc.	john and someone were dancing together, but i don't know who.
0.974	unacc.	acc.	in which way is clinton anxious to find out which budget dilemmas panetta would be willing to solve?
0.973	unacc.	acc.	i inquired when could we leave.
0.973	unacc.	acc.	maytag will give a brand-new dryer to the winner of the mrs.
0.973	unacc.	acc.	each of the performers came in, but were sitting so far back that we couldn't see who.
0.971	unacc.	acc.	joan said she talked to the students, but fred couldn't figure out who.
0.971	unacc.	acc.	the more you would want, the less you would eat.
0.971	unacc.	acc.	john was promised by bill to leave.
0.971	unacc.	acc.	cynthia chewed.
0.971	unacc.	acc.	max seemed to be trying to force ted to leave the room, and walt to stay a little longer.
